conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.7983E+18,Wed Jun 05 10:32:58 +0000 2024,36,Isu UKT udah tenggelam bukan berarti masalahnya selesai. Malah akan jadi bom waktu permasalahan Pendidikan Tinggi di Indonesia. Tulisan Alldo dan saya baru aja dimuat di the Jakarta Post tentang isu ini. Silahkan dibaca: https://t.co/rtpiMWMX4Z https://t.co/ZY7JXK0hCF,1.7983E+18,https://pbs.twimg.com/media/GPTaHslXQAEs1NW.jpg,,in,"Utrecht, The Netherlands",3,0,17,https://x.com/ali_abdillah_/status/1798301982928916947,112446822,ali_abdillah_
1.79821E+18,Wed Jun 05 04:38:32 +0000 2024,1,kata dia setiap orang itu punya kepintaran dan bakatnya masing-masing setiap siswa harus tau apa tujuan dia kuliah sampai ngomongin masalah perbaikan pendidikan di indonesia. masalahnya dia ga address core problem yang dibicarakan (kenaikan ukt). blunder banget ni mahasiswa S2.,1.79821E+18,,danialnoer,in,safe space,0,0,0,https://x.com/danialnoer/status/1798212788290204042,3301452185,danialnoer
1.79815E+18,Wed Jun 05 00:12:55 +0000 2024,0,sampe muncullah video that man (iya video pak anies wkwk) diwawancara soal kenaikan UKT lalu beliau intinya bilang kalo pendidikan tinggi di Indonesia itu penting karena itu jadi ESKALATOR sosial ekonomi,1.79815E+18,,akupastibina,in,"Surabaya, Indonesia",0,1,0,https://x.com/akupastibina/status/1798145941360492997,1.68259E+18,akupastibina
1.798E+18,Tue Jun 04 14:32:41 +0000 2024,0,Habis tapera ntar terbit tapenna tabungan pendidikan anak karena ukt makin mahal jadi disuruh nabung tiap bulan ke pemerintah ntar pada males punya anak biar ga pusing biaya pendidikan angka kelahiran menurun Indonesia perlahan punah,1.798E+18,,,in,almost home,0,0,0,https://x.com/ahn_nanta/status/1797999921821573392,400563652,ahn_nanta
1.79777E+18,Tue Jun 04 05:04:39 +0000 2024,0,@wortel1907 @tanyakanrl gini kn sekarang ada kebijakan ukt naik bangsa Indonesia mw dibawa kemana? banyak loh orang yang butuh pendidikan dan buat negara maju berkembang tapi pada milih makan gratis sementara kalo makan gratis kan katanya cuma anak sekolah berarti selain anak sekolah ga dpt cmiiw,1.79786E+18,,wortel1907,in,"Jakarta Pusat, DKI Jakarta",0,0,0,https://x.com/kleerien/status/1797856973272265187,1.56671E+18,kleerien
1.79782E+18,Tue Jun 04 02:49:26 +0000 2024,0,Gimana Indonesia mau dapet Nobel kalo UKT mahal akses pendidikan sulit dosen beban banyak lulusan S3 &lt;1% banyak joki orientasi nilai orientasi pasar orientasi profit dsb dsb,1.79782E+18,,,in,,0,1,0,https://x.com/muzakghif/status/1797822945169228252,1.25165E+18,muzakghif
1.79761E+18,Mon Jun 03 12:38:14 +0000 2024,0,Sumpah apa diisi otaknya orang ini pemain yang sudah main buat timnas Indonesia ya dia WNI gada lagi embel-embel naturalisasi bla-bla-bla. Gausah terlalu ngurusin ini selama dia sah secara UU ya udah gituloh. Ini komisi X fokus aja ke UKT noh anda juga urus pendidikan toh,1.79761E+18,,,in,penajam paser utara-yogyakarta,0,0,0,https://x.com/Adibinfa/status/1797608733914345818,7.09308E+17,Adibinfa
1.79758E+18,Mon Jun 03 10:39:08 +0000 2024,0,Pengamat kebijakan publik dari Universitas Pendidikan Indonesia (UPI) Cecep Darmawan turut mengkritik langkah Nadiem dalam membatalkan kenaikan UKT di PTN tahun 2024. Menurut Cecep Darmawan ada beberapa kesalahan dari Menteri Nadiem dalam mengambil kebijakan untuk masyarakat. https://t.co/lsIyg4xl5R,1.79758E+18,https://pbs.twimg.com/media/GPJIWZ8awAAysag.jpg,IDNTimesJabar,in,"Jawa Barat, Indonesia",0,1,0,https://x.com/IDNTimesJabar/status/1797578760872714462,1.31885E+18,IDNTimesJabar
1.79758E+18,Mon Jun 03 10:34:53 +0000 2024,0,Namun pembatalan kenaikan UKT yang disampaikan Nadim itu tak membuat semua permasalahan menjadi tuntas. Perguruan tinggi mahasiswa dan orangtuanya masih ketakutan dengan situasi dunia pendidikan di Indonesia saat ini.,1.79758E+18,,IDNTimesJabar,in,"Jawa Barat, Indonesia",0,1,0,https://x.com/IDNTimesJabar/status/1797577691543331101,1.31885E+18,IDNTimesJabar
1.79754E+18,Mon Jun 03 07:55:34 +0000 2024,0,UKT Batal Naik Tak Bikin Pendidikan Indonesia Baik-baik Saja https://t.co/7sVPTojP0w,1.79754E+18,,,in,"Jawa Barat, Indonesia",0,0,1,https://x.com/IDNTimesJabar/status/1797537596513648937,1.31885E+18,IDNTimesJabar
1.79746E+18,Mon Jun 03 04:43:56 +0000 2024,5,@RagilSemar mau Indonesia Emas ?? wong warga RT 02 RW 58 pgnnya joged2 dan oke gas oke gas. UKT ditunda berarti siap2 tahun depan. Dikasih pendidikan gratis ga mau maunya sarapan gratis,1.79749E+18,,RagilSemar,in,,0,0,0,https://x.com/cellabotak/status/1797489373023502730,918142044,cellabotak
1.79747E+18,Mon Jun 03 03:23:26 +0000 2024,200,Uang Kuliah Tunggal (UKT) Terus Melonjak PKS: Besarnya Anggaran Pendidikan Tak Berpengaruh Signifikan terhadap Kualitas Pendidikan di Indonesia‼️ || @mnasirdjamil (Anggota Komisi III DPR RI F-PKS) #fraksipksdprri #PKSpembelaRakyat #PKSnomor8 https://t.co/ObLpEldQKp,1.79747E+18,https://pbs.twimg.com/ext_tw_video_thumb/1797469023116095488/pu/img/qaFz0KmqkkE-OOYz.jpg,,in,Jakarta Capital Region,0,1,91,https://x.com/FPKSDPRRI/status/1797469111699816753,91255162,FPKSDPRRI
1.79723E+18,Sun Jun 02 15:18:38 +0000 2024,14,@cloudvanguard1 @honeymoon234_ @periodctabIe @tanyakanrl WKWKWKWK coba coba urain uu no. 12 th 2012 yang menuntut perkembangan pendidikan di indonesia dengan semakin tingginya ukt dong. dimana relevansi antara keduanya kalau boleh tau?,1.79729E+18,,cloudvanguard1,in,,0,0,0,https://x.com/statgaze/status/1797286712240206203,3267770671,statgaze
1.79545E+18,Wed May 29 18:14:12 +0000 2024,0,@tempodotco @korantempo @temponewsroom Ukt yang sekarang aja masih banyak yang susah apalagi di naikin berharap indonesia mkin maju tapi kebijakan yang keluar itu nggak ngotak semua gimana mau maju kalo buat pendidikan aja di bikin susah,1.79588E+18,,tempodotco,in,,0,0,0,https://x.com/flo_owwi/status/1795881340828790790,1.75849E+18,flo_owwi
1.79584E+18,Wed May 29 15:21:45 +0000 2024,0,Opini - Pendidikan tinggi di Indonesia menghadapi tantangan yang semakin kompleks terutama terkait dengan kebijakan kenaikan Uang Kuliah Tunggal (UKT) yang kontroversial. Serangkaian protes mahasiswa yang meluas menunjukkan ketidakpuasan yang mendalam terhadap kebijakan tersebut,1.79584E+18,,LPM_Manunggal,in,"Semarang, Jawa Tengah",0,3,0,https://x.com/LPM_Manunggal/status/1795837941677441295,316212496,LPM_Manunggal
1.79582E+18,Wed May 29 14:00:02 +0000 2024,1,Pemerintah batalkan kenaikan UKT 2024. Anggaran fungsi pendidikan dari APBN jumlahnya mencapai Rp665 triliun. Namun anggaran yang dikelola Kemendikbudristek sebesar Rp98 9 triliun atau 15% dari total anggaran fungsi pendidikan. Berikut ulasannya. https://t.co/ns6OyEQSsE https://t.co/lpN0YGTIGN,1.79582E+18,https://pbs.twimg.com/media/GOuxVX_bUAAWosQ.jpg,,in,Indonesia,0,0,0,https://x.com/CNNIDdaily/status/1795817379408277580,3306771829,CNNIDdaily
1.79579E+18,Wed May 29 12:37:47 +0000 2024,2,@prkdlx Wahh semoga pembatalan kenaikan UKT ini bisa jadi langkah awal juga untuk perbaikan kualitas pendidikan tinggi di Indonesia ,1.7958E+18,,prkdlx,in,Boraland,0,1,4,https://x.com/Mars_8888/status/1795796680555610299,1.47971E+18,Mars_8888
1.79579E+18,Wed May 29 12:03:53 +0000 2024,0,POLEMIK kenaikan uang kuliah tunggal (UKT) yang ramai belakangan dinilai akibat salah kelola pendidikan tinggi negeri di Indonesia. https://t.co/3noilTn7sN,1.79579E+18,,,in,Jakarta - Indonesia,0,1,0,https://x.com/mediaindonesia/status/1795788149203046463,68930552,mediaindonesia
1.79531E+18,Wed May 29 11:09:12 +0000 2024,0,@guntuyy @ribkadel tapera maksa ukt naik dengan alasan 'cuma pendidikan tersier . Indonesia dengan prinsip yang miskin makin miskin rakyat dilarang pintar.,1.79577E+18,,guntuyy,in,,0,0,0,https://x.com/artfromrose/status/1795774387888771108,1.77171E+18,artfromrose
1.79576E+18,Wed May 29 10:10:25 +0000 2024,0,STANDAR Satuan Biaya Operasional Pendidikan Tinggi (SSBOPTN) merupakan penentu besaran Uang Kuliah Tunggal (UKT). https://t.co/85Uoi6xjSo,1.79576E+18,,,in,Jakarta - Indonesia,0,0,0,https://x.com/mediaindonesia/status/1795759593748037726,68930552,mediaindonesia
1.79576E+18,Wed May 29 10:10:09 +0000 2024,0,step 2 itu ngerubah pemerintahan. menurut aku Indonesia belum siap untuk jadi seperti negara² besar lainnya. karena pemerintah tidak mendukung aspek pendidikan secara utuh. banyak orang yang kayak ibaratnya jual ginjal buat kuliah malah ukt dinaikkan.,1.79576E+18,,envy_liaa,in,,0,1,0,https://x.com/envy_liaa/status/1795759528337895833,1.528E+18,envy_liaa
1.79571E+18,Wed May 29 07:12:01 +0000 2024,0,Nadiem menyampaikan pembatalan ini dikarenakan pihaknya masih perlu mengevaluasi semua permintaan kenaikan UKT dari seluruh perguruan tinggi di Indonesia. Baca informasi selengkapnya di https://t.co/OTd0m2r6Qf #PTN #Pendidikan #Kemdikbudristek #NadiemMakariem #UKT https://t.co/s3wxbxeCrq,1.79571E+18,https://pbs.twimg.com/media/GOuo-cEbEAAOZFh.jpg,,in,,0,0,0,https://x.com/IsuUtama/status/1795714699377660098,1.3496E+18,IsuUtama
1.79569E+18,Wed May 29 05:41:22 +0000 2024,0,Kan kemarin kita ribut soal ukt yang mahal dengan memikirkan masa depan anak-anak di masa depan mengenai pendidikan di Indonesia dan akhirnya dibatalkan. Terus tiba-tiba tapera udah disahin. Ini namanya dzolim https://t.co/bmvlBD9jC2,1.79569E+18,https://pbs.twimg.com/media/GOuUQK4bQAAX_3l.jpg,,in,,0,1,0,https://x.com/Illusilia/status/1795691887443263756,1165426280,Illusilia
1.79569E+18,Wed May 29 05:34:49 +0000 2024,9,UKT mahal dosen sibuk dg urusan administrasi (bukan urusan mengajar) menterinya ga paham sistem pendidikan dalam negeri mahasiswanya gak bisa nulis. Lengkap sudah untuk menunjang Indonesia Emas 2045.,1.79569E+18,,,in,Di komplek sebelah,1,0,5,https://x.com/yudhaknight/status/1795690238981116308,71472542,yudhaknight
1.79566E+18,Wed May 29 03:52:18 +0000 2024,1,Hidup Mahasiswa! Kenaikan UKT Batal Usai Presiden Jokowi Panggil Mendikbud Bukti Komitmen Presiden Jokowi Perhatikan Pendidikan Tinggi! #jatimdamai Tapera Dirasakan Cianjur #LovelyRunnerEp16 #TREASURE_KINGKONG #GazaGenocide Tabungan KOMCHADLUEK JIMMYSEA Musibah https://t.co/GJOUPQeyba,1.79566E+18,https://pbs.twimg.com/media/GOt6GgvacAARK1t.jpg,TeropongSakti,in,surabaya,0,1,1,https://x.com/TeropongSakti/status/1795664438982549787,1.7522E+18,TeropongSakti
1.79566E+18,Wed May 29 03:50:25 +0000 2024,1,Hidup Mahasiswa! Kenaikan UKT Batal Usai Presiden Jokowi Panggil Mendikbud Bukti Komitmen Presiden Jokowi Perhatikan Pendidikan Tinggi! #jatimdamai Tapera Dirasakan Cianjur #LovelyRunnerEp16 #TREASURE_KINGKONG #GazaGenocide Tabungan KOMCHADLUEK JIMMYSEA Musibah https://t.co/pF79jrPtZG,1.79566E+18,https://pbs.twimg.com/media/GOt6Aclb0AA1LLP.jpg,beautifulof_ina,in,malang,0,1,1,https://x.com/beautifulof_ina/status/1795663965311443452,1.7522E+18,beautifulof_ina
1.79566E+18,Wed May 29 03:43:29 +0000 2024,1,Hidup Mahasiswa! Kenaikan UKT Batal Usai Presiden Jokowi Panggil Mendikbud Bukti Komitmen Presiden Jokowi Perhatikan Pendidikan Tinggi! #jatimdamai Mavs Doncic Nahan Khilaf Tapera #LovelyRunnerEp16 #TREASURE_KINGKONG #GazaGenocide Tabungan Asabri Lazada Bagi Album Kpop https://t.co/CmfRuCl9XN,1.79566E+18,https://pbs.twimg.com/ext_tw_video_thumb/1795661460057845761/pu/img/N547IJsw0XARtCDA.jpg,,in,surabaya,0,1,1,https://x.com/KabutIndonesia/status/1795662220996882521,1.7522E+18,KabutIndonesia
1.79564E+18,Wed May 29 02:30:00 +0000 2024,0,Universitas Brawijaya Malang Jawa Timur mengembalikan kelebihan bayar UKT bagi mahasiswa yang telanjur daftar ulang setelah adanya Surat Direktur Jenderal Pendidikan Tinggi Riset dan Teknologi Kemendikbud Ristek pada 27 Mei 2024. https://t.co/dTuj6g37fR,1.79564E+18,,,in,Jl Opak 1 Surabaya,0,0,0,https://x.com/BisniscomJatim/status/1795643725852610763,333877701,BisniscomJatim
1.79563E+18,Wed May 29 01:35:34 +0000 2024,0,Forum Doktor Muslim Ke-43 Catat! Tiga Status Pendidikan dan Jangan Biarkan UKT Naik Sehingga Bikin Indonesia Cemas dan Lemas https://t.co/00pFPdchUj https://t.co/QN53oLMBSU,1.79563E+18,https://pbs.twimg.com/media/GOtb_lPacAESo_r.jpg,,in,Tangerang,0,0,0,https://x.com/DakwahTangerang/status/1795630026106269807,2411885898,DakwahTangerang
1.79562E+18,Wed May 29 01:09:46 +0000 2024,0,Topik Diskusi Pagi ini: Pembatalan Kenaikan UKT; Dapatkah Mengatasi Problem Pembiayaan di Pendidikan Tinggi Negeri Kita?. Berikut pendapat Koordinator Jaringan Pemantau Pendidikan Indonesia (JPPI); Ubaid Matraji #NOW #LIVE #TOPIK #pembatalan #penundaan #UKT,1.79562E+18,,,in,"Semarang, Jawa Tengah",0,0,0,https://x.com/RadioIdolaSMG/status/1795623536259948968,385894867,RadioIdolaSMG
1.79557E+18,Tue May 28 21:38:59 +0000 2024,0,Dibalik keputusan menunda lagi kenaikan UKT tahun 2024 ini bisa jadi pertimbangan bagaimana pendidikan yg jadi alat mempercedas bangsa perlu di prioritaskan demi Indonesia Emas bukan Indonesia Cemas 2045 ketika berkesempatan dapat beasiswa kemenpora 2018-2020 lalu pun.. https://t.co/wVoJbpdgw0,1.79557E+18,https://pbs.twimg.com/media/GOsl2BkbwAAT3M3.jpg,ryan_haris,in,Indonesia,0,1,0,https://x.com/ryan_haris/status/1795570489299267668,179334552,ryan_haris
1.79511E+18,Mon May 27 18:45:34 +0000 2024,5,@lokumawe @medyrenaldy_ Mana ada wkwkwk teori mu ngawur wkwkwk. Toh orang2 yg concern soal pendidikan itu dikit kok bahas UKT menurut gw masih kejauhan. Nyatanya di mayoritas daerah2 di indonesia lulus smp-sma pun ambil ijazah saat udah lulus aja susah.,1.79516E+18,,lokumawe,in,,0,1,2,https://x.com/elekstabilitas/status/1795164462216794245,1.28376E+18,elekstabilitas
1.79515E+18,Mon May 27 17:34:35 +0000 2024,0,Angin Segar Bagi Dunia Pendidikan Indonesia UKT Tak Jadi Naik https://t.co/ViWIQfIoTj https://t.co/0zoughAgFQ,1.79515E+18,https://pbs.twimg.com/media/GOmkUVDaAAMuJqz.jpg,,in,,0,0,0,https://x.com/Kabar_Terkini01/status/1795146598240092635,7.13692E+17,Kabar_Terkini01
1.79513E+18,Mon May 27 16:10:00 +0000 2024,0,Apa yang harus dilakukan agar pembatalan kenaikan UKT tidak berdampak terhadap mutu perguruan tinggi negeri? Talk: Koordinator Nasional Jaringan Pemantau Pendidikan Indonesia - Ubaid Matraji https://t.co/sIkHF5Jh15,1.79513E+18,https://pbs.twimg.com/media/GOmIJicagAAPVN5.jpg,,in,,0,1,1,https://x.com/RadioElshinta/status/1795125309546827811,121640063,RadioElshinta
1.79512E+18,Mon May 27 15:39:57 +0000 2024,0,MEMBATALKAN KENAIKAN UKT YG UGAL2AN SAMBIL CENGENGESAN ADALAH BUKTI NADIEM BUKAN ORANG YG COCOG UNTUK MENGATUR PENDIDIKAN TINGGI INDONESIA. LEBIH KEJAM JAHANAM DARI IBUK TIRI.,1.79512E+18,,,in,,0,0,0,https://x.com/batxave/status/1795117746125984234,1.69976E+18,batxave
1.79508E+18,Mon May 27 13:26:25 +0000 2024,1,Nantikan Diskusi Interaktif Malam Ini: Apa yang harus dilakukan agar pembatalan kenaikan UKT tidak berdampak terhadap mutu Perguruan Tinggi Negeri? Narasumber: Pkl 23:00 ::: Koordinator Nasional Jaringan Pemantau Pendidikan Indonesia Ubaid Matraji. Pkl 24:00 ::: https://t.co/4Kg3F4tyWM,1.79508E+18,https://pbs.twimg.com/media/GOlrK3FaYAApSJn.jpg,,in,,0,0,0,https://x.com/RadioElshinta/status/1795084142490886374,121640063,RadioElshinta
